# Number of sources: 18450
# RA (deg), Dec (deg), I (Jy), Q (Jy), U (Jy), V (Jy), Ref. freq. (Hz), Spectral index, Rotation measure (rad/m^2), FWHM major (arcsec), FWHM minor (arcsec), Position angle (deg)
 359.412170, -36.982758, 2.043258e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.037234e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 359.965302, -36.764706, 1.024138e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-7.717219e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 359.424072, -36.839954, 1.267310e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 2.065509e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 359.482880, -36.769157, 1.227571e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.126789e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 359.479370, -36.700657, 4.489323e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-6.048972e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 358.963104, -36.735344, 7.880421e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.183886e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 358.420837, -36.743992, 1.036545e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-3.340052e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 358.092377, -36.711342, 1.003733e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.292719e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 358.892181, -36.588375, 1.564722e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-6.520468e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 356.941254, -36.654839, 4.771939e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-4.749065e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 359.114258, -36.373333, 1.864028e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-5.757657e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 356.817688, -36.571918, 1.857375e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.061371e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 359.807556, -36.271587, 1.238919e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.187102e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 358.948547, -36.308193, 1.745552e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-7.688145e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 357.907104, -36.441444, 2.181063e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.339432e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 357.268311, -36.413422, 3.678232e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.559391e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 356.380798, -36.448006, 1.655899e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.892913e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 358.707306, -36.269848, 1.293281e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-5.640755e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 356.467255, -36.422997, 1.128653e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-4.872298e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
